country,pct_beneficial,idv,source_note,idv_source_verified
Indonesia,85,14,PMC_table5_consistent,TRUE
Thailand,78,20,SUPPLEMENTARY_verify_before_use,FALSE
Singapore,73,20,SUPPLEMENTARY_verify_before_use,FALSE
Mexico,70,30,PMC_table5_consistent,TRUE
Malaysia,70,26,PMC_table5_consistent,TRUE
Peru,69,16,PMC_table5_consistent,TRUE
South Korea,67,18,PMC_table5_consistent,TRUE
India,67,48,PMC_table5_consistent,TRUE
Turkiye,66,37,PMC_table5_consistent,TRUE
South Africa,64,65,PMC_table5_consistent,TRUE
Chile,63,23,PMC_table5_consistent,TRUE
Colombia,58,13,PMC_table5_consistent,TRUE
Brazil,58,38,PMC_table5_consistent,TRUE
Argentina,57,46,PMC_table5_consistent,TRUE
Italy,53,76,PMC_table5_consistent,TRUE
Spain,53,51,SUPPLEMENTARY_verify_before_use,FALSE
Poland,50,60,PMC_table5_consistent,TRUE
Germany,49,67,PMC_table5_consistent,TRUE
Hungary,48,55,SUPPLEMENTARY_verify_before_use,FALSE
Ireland,48,70,SUPPLEMENTARY_verify_before_use,FALSE
Japan,48,46,PMC_table5_consistent,TRUE
Australia,47,90,PMC_table5_consistent,TRUE
Switzerland,45,68,PMC_table5_consistent,TRUE
Netherlands,43,80,PMC_table5_consistent,TRUE
United Kingdom,43,89,PMC_table5_consistent,TRUE
Sweden,43,71,SUPPLEMENTARY_verify_before_use,FALSE
United States,42,91,PMC_table5_consistent,TRUE
Belgium,41,75,PMC_table5_consistent,TRUE
France,41,71,PMC_table5_consistent,TRUE
Canada,40,80,PMC_table5_consistent,TRUE
