country,idv,source_note
Argentina,46,PMC_table5_consistent
Australia,90,PMC_table5_consistent
Belgium,75,PMC_table5_consistent
Brazil,38,PMC_table5_consistent
Canada,80,PMC_table5_consistent
Chile,23,PMC_table5_consistent
China,20,PMC_table5_consistent
Colombia,13,PMC_table5_consistent
France,71,PMC_table5_consistent
Germany,67,PMC_table5_consistent
India,48,PMC_table5_consistent
Indonesia,14,PMC_table5_consistent
Italy,76,PMC_table5_consistent
Japan,46,PMC_table5_consistent
Malaysia,26,PMC_table5_consistent
Mexico,30,PMC_table5_consistent
Netherlands,80,PMC_table5_consistent
Peru,16,PMC_table5_consistent
Poland,60,PMC_table5_consistent
South Africa,65,PMC_table5_consistent
South Korea,18,PMC_table5_consistent
Switzerland,68,PMC_table5_consistent
Turkiye,37,PMC_table5_consistent
United Kingdom,89,PMC_table5_consistent
United States,91,PMC_table5_consistent
Thailand,20,SUPPLEMENTARY_verify_before_use
Singapore,20,SUPPLEMENTARY_verify_before_use
Ireland,70,SUPPLEMENTARY_verify_before_use
Sweden,71,SUPPLEMENTARY_verify_before_use
Hungary,55,SUPPLEMENTARY_verify_before_use
Spain,51,SUPPLEMENTARY_verify_before_use
